Component,Unit,Base_Cost,Cost_Notes,Product_Details
Architectural Shingles,sq_ft,1.85,Mid-tier,30yr warranty dimensional
Premium Architectural,sq_ft,2.20,Top-tier,50yr warranty impact-resistant
Starter Strip,linear_ft,1.50,Adhesive,Wind resistance rated
Ridge Cap Shingles,linear_ft,4.50,Matching color,Pre-formed
Hip & Ridge,linear_ft,4.50,Architectural style,Enhanced appearance
Underlayment Felt,sq_ft,0.28,#30 weight,Standard application
Synthetic Underlayment,sq_ft,0.38,Premium,Better durability
Ice & Water Shield,sq_ft,1.25,Valley/eave protection,Required code areas
Drip Edge,linear_ft,2.50,Aluminum,Prevents rot
Ridge Ventilation,linear_ft,8.50,Continuous,Airflow rated
Roof Deck Protection,sq_ft,0.35,Breathable,Moisture barrier
