Component,Unit,Base_Cost,Cost_Notes,Product_Details
Standing Seam Panel 26ga,sq_ft,4.50,Standard gauge,Kynar 500 finish 40yr warranty
Standing Seam Panel 24ga,sq_ft,5.25,Premium gauge,Enhanced hail resistance
Ridge Cap,linear_ft,8.50,Matching finish,Ventilated option available
Valley Flashing,linear_ft,12.00,Ice & water shield included,Custom fabricated
Drip Edge,linear_ft,3.25,Aluminum,Hemmed for durability
Underlayment Synthetic,sq_ft,0.45,High-temp rated,Rated for metal application
Fasteners and Clips,sq_ft,0.85,Stainless steel,Hidden fastener system
Ridge Ventilation,linear_ft,15.00,Continuous system,Matches panel profile
Chimney Flashing,each,185.00,Custom fabricated,Lifetime seal guarantee
Skylight Flashing,each,275.00,Curb mount,Weather-tight installation
Pipe Boot,each,45.00,Neoprene EPDM,UV resistant
